ciphertext,index,word,plaintext
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,0,A,2969d4111bafab3079b5ae4d1d164ae86a479823bda439d529e608c2cc7ad010
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,1,A's,ce5b26c601f9aa0871351522c18eb93c4acf73b9f94c694264e8a9ab5099fa42
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,2,AA's,9a707e328b2aaa193f45392b87e94217001f5e322c4f1f04e901a98e7ea47ac9
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,3,AB's,9ea39664d37f0672c6e73abafd4c9c2b50f88114655d63a16445186d3e79afb1
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,4,ABM's,e7de6cb2d7bee2bfd1d10395fe9737e077afd518fa9a424c253a06e4b4c0ea6e
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,5,AC's,2fbce9665fdc56ff3e93718311c4f9db6fc74614f4ca28b21043a3e0ef095caa
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,6,ACTH's,c10d07d2b7e42f1b99bdf9b7ba8263792478bc2181e02d6b18c1daf6f8fb1db5
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,7,AI's,dc62e4a22a431cf272a7d523c6a4185d7b1ccdb8fd1408fed21b1b4d1abebdea
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,8,AIDS's,73d0ee824236b989fdad99bd6206cdebe4ae395acda3ab5e6f440e07d155bb19
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,9,AM's,0b7e8638d0f65f2ed87adfb00dd32726648db3ed38c0e3a0771ede4ee67268ad
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,10,AOL,c9b5e41826932f8abedf9522097edb0d766549603ac05b7ba2ffcc69aa3b8423
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,11,AOL's,f9f6117c4ead59284ac5e10016d19b7d4f74148343821b60a28d0aec395fb87c
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,12,ASCII's,cf264a08a3f8c020bf8f89472d1c4e8f592e7005b7c278d7decccbda2e837a1b
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,13,ASL's,28b1a6465a6508183283786f2f020e04b98a0eebfc7e43ec8dca8ba3401d3a13
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,14,ATM's,d12b7f68d6e24fa5011eabede9e0b61f6c5c32cc730a94e15d0e17e90bc66f01
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,15,ATP's,127252acffbd8ce1853c477fea61602de0ec6a8d8766504fd963a7ae78491c3c
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,16,AWOL's,7df3f1d6cf7583ed2a4d899e0d80f08cd0648a3ed75a4d1e5c3decb9b6a1ed8c
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,17,AZ's,2c3a3d681969854e3d3721f636451105887fce52afe82597404ae8eff49d87cb
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,18,AZT's,8e0d817c3aedfaaaccaa68a25e3e62b52c4c52cdedad7c8201659d7244261bd5
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,19,Aachen,93bc98891f7db63224e569094a4ef6ba5e45d5900f3d391c9a8698de096f9de3
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,20,Aaliyah,3b782ccf5de83b384523557566d4ae25e88a91f8ac8d5cdd8df166e823b15fa5
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,21,Aaliyah's,d207931f637543cbd9579762e0b93c21b2d8d135580aa808377fcfb23e6437d2
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,22,Aaron,739d5e35b50d76541153199dac9840d1ec4b7183a059e267a61db46b34e6e36b
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,23,Abbas,22256e99daea02ab3b0020330df3f4d234ef3880c7d7f13fc1f80df3b67c8a34
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,24,Abbasid,510f2a6e492dfbe800bbd88cb249f84b4dc900750d15d129c0a3a92b2c5957bd
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,25,Abbott,cc7c9e0c12b5177b29166402717afa48ec280fad1b5e885ee68bd612b160dedd
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,26,Abbott's,d2205b8bd22d47659deaeeb4a8af8b9a8b8819a97cb72d96a92682c8e4a80658
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,27,Abby,3310125c4af51a714be2e5d6104b1b3b211bd5cd09966f2dae9fee66571ddb39
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,28,Abby's,b00b85bbc5e9495102a4aaa3bb44b8a3b7b3c6c3f3af3559b72e93bc8da0cd70
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,29,Abdul,8adc8619c866b70b5513b9310a7e176ac1fe715a999f2d6f6a49350fa54227d4
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,30,Abdul's,bd75b3fce35ab7388fb14996afc8f87b506cb13dcef4adf559af2c874dc83d1c
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,31,Abe,3021d3356b393ae34ef4a684769930f3fd37a56ae517f22597e7487aff0572d3
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,32,Abe's,974082dc2bd9bdedfc24d6a34ba75329c5c2050bc7c1ac527bfca98124110604
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,33,Abel,6dff0e17b14700beac24dc06a6a8ff402c3d7655526316b89b4d4f2500bb8479
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,34,Abel's,fedffa2564e000e03a17824bf447c5a6897830ae47e2f5b02baab416127688fa
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,35,Abelard,8a39382f3872bf57705d50eb794de0e68c1f00e042b6907f564ddd70f0df58ca
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,36,Abelson,eecadf74bd110f493cda8762c5175f6e601c20b5be6359eb78449e40c50d7c1b
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,37,Abelson's,4d94bfb6f8218e1b72f011415a43f9f3fda7056299a5d0fbe6b9b046a531e138
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,38,Aberdeen,31fcc81d6b178568623a85d2d25220d811d524f36baa29964e45c74e795552b0
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,39,Aberdeen's,7717cb5251515524f0d0a9f59c98f33f99fab54c52fdfadd0336d197f917e366
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,40,Abernathy,c70682ac95d9f698170d8d938328b16c8b53ae898820079dffd78e39ba8c16bc
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,41,Abernathy's,ea31994c5299ef1c1b19911d46f591a55597be1815b491738124df4aca444cd3
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,42,Abidjan,7c6624593cee928b976eb71b94438b30c08d7aa4ff6e98c53d3bddfe3955de5a
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,43,Abidjan's,66f23f6f86e4b0fd2bb13cd33e5f7c3e22c2e33c6b8a0ed85bf07dfe25df3209
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,44,Abigail,7a8f7d7331787c65fffd347974782805721f8fa3a4e9fc13e7606175c586e63a
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,45,Abilene,f0283b680851be4afd4fc9a50060b2c8e07edd47aaafefc6063615f6f133b7ac
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,46,Abner,a861d4a58f79fa8ce4cfe25f52806b79ff102c01877530a1571790ac4b39553e
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,47,Abner's,92c7396e84ad1e4ac4f46ed929934f75f0e02ffb5a0b3808dd001ccf271d16ac
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,48,Abraham,c27650da14e28f72e007e5e622b7bfa8c3de88482e66eb49251d6b36ea1e6abb
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,49,Abraham's,495a04de32458eb714829b0876b4a9727c90a9c9c8c913d1649c86fda8b9f1af
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,50,Abram,bb94845d089da45475e5f66db78e0c21aeeaf1ec7772a2a372f41a73a47b82a3
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,51,Abram's,f98e01c3f7d02b5617309580e35f4cf73f09327f90331518eaeebfc301494d10
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,52,Abrams,6e027b6a38d9ec29ceb2f4f280bb9be27b6fb50956bca58396dc547f5aa4f690
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,53,Absalom,25057cb6f6bdb1866c003eec446e2c4068a5ac27d2af03b392e7bddc98c19b10
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,54,Abuja,8c1fc13a51dcdb9ee99ed68fe93b5088841dd47b6f3a00f6645ada01d14a8c4d
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,55,Abyssinia,91b32c5119d03469491bbb97f225940c93728be8333cd5ec7470c036169da1ce
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,56,Abyssinia's,4a22a10d5db483417c43f62e24850544759d32e990d726f15b0c0df030eb681f
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,57,Abyssinian,4e31c592862dfbcde3644c8d2d48ac5cb8c1e735dea914fe814cf5c4f9e33446
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,58,Abyssinian's,02317f56309d3e6f007a4b91f88c8fee9cc5cebef41723756601445330c8075b
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,59,Ac,288f4e808fb226d3b4e738e27ef25898029e4c9b89cbfb53c323a1573a8a1764
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,60,Ac's,38c45f620dbc77ebba7c62d80bb563516f2cf85b47070a4e22bcf45797b4a4ec
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,61,Acadia,dfa076681bfeba523e7c367aa9232807ddfe141347bfd0a71559f963b9da3aa4
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,62,Acadia's,98d2ae842f3082b02caa6ff5772b575298f31de35fd63a9e88032f1f3b3871eb
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,63,Acapulco,3c80058c7b1c95f5ac22fd1acc3d782a4f8f094f1c5f7d97e0dd82b7092886fb
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,64,Acapulco's,4a640af3e67764d33a544c641b42ac3334e344f285a9c6f98e918a376863916b
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,65,Accenture,e8cd121d4bdcb085b2603ff7ba4091db4e760208d49cb3caa6305d515ee7d7cc
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,66,Accenture's,3b9a9b4da920563b6612e2bc76dd80a9552289f1bd2c86600fbfda68be5b35eb
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,67,Accra,155ccaf9f8099a6b60602e9aad845bb7b44fc719c6e7dd2ab6bb3430e94bd2ad
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,68,Accra's,7c10be01cabbec9848ec8374f25b0a8e2d3736ae862465a1288e36a1303b64f1
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,69,Acevedo,97eac646ead488a8e3799951cc02395bf8b0bc50b263cdad8a64be14a6779432
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,70,Acevedo's,fa5147a468296e2fd33f5feb48f16d78a593156b9ae5f1c9d8141d541bfd94e3
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,71,Achaean,57723eea028fa602347323b80e71882f71795828f87cb970e58863b51a10d200
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,72,Achaean's,4f4574f20015a6030f6bb28a5bcd8710088b2d7564cded073ff4f6de7644db7e
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,73,Achebe,47266f9f6087cb3a04a9aba12e81f7ce19ceb4c42c846663f40ef6106c6fd93d
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,74,Achebe's,bea3a990d9dec1899c844ec1a3aa48a0d641b0532cb0f871e5a1cccd7a88b9d6
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,75,Achernar,3429fe289b2791e3f939f6a3d94ce3bc4ff5c15cdeba042093181376b1941a19
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,76,Acheson,ca180535542b705ce8b3c705d70c037d0da71220698065750d2e98e0994b4b2f
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,77,Acheson's,832428a9dbb3037d38a9d858f5f76ba9b66b7e5b420fd950d3ae3a6eb93a4991
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,78,Achilles,2fb03d98faa09cd51e1258f2141617f67baf0f6ef89d484e5f4a1fa357b1fbd9
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,79,Achilles's,a77a2899c3790e0f45c9879ea502abffc077449b1f06c68b984b98b969035048
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,80,Aconcagua,08723d63a625cf4af798676d7ff5de6e32b6057451eb57cf3dd161a588d5970f
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,81,Aconcagua's,c175dd75b35758ba404d7475f5069e10365033ff6baeed5ed4b658a7dadf6b50
c92b7734070205bdf6c0087a751466ec13ae15e6f1bcdd3f3a535ec0f4bbae66,82,Acosta,c4b55e9100cfe9f547b5ab665e6f880f9b7fe65cf41ee497fe891988fba958f3
